Date,Apple ,Google ,Microsoft ,Amazon ,Intel ,VTI ,,,,,
5/31/2011,12.4225,263.522247,25.01,196.690002,22.51,69.949997,,,,,
6/1/2011,12.339643,261.818634,24.43,192.399994,22,68.360001,,,,,
6/2/2011,12.360714,263.044037,24.219999,193.649994,22.09,68.230003,,,,,
6/3/2011,12.265715,260.563354,23.91,188.320007,21.73,67.529999,,,,,
6/6/2011,12.072857,259.557129,24.01,185.690002,21.83,66.75,,,,,
6/7/2011,11.858571,258.545898,24.059999,187.550003,22.059999,66.720001,,,,,
6/8/2011,11.865714,258.615631,23.940001,188.050003,21.82,66.370003,,,,,
6/9/2011,11.838928,257.400208,23.959999,189.679993,21.76,66.839996,,,,,
6/10/2011,11.639286,253.80368,23.709999,186.529999,21.379999,65.889999,,,,,
6/13/2011,11.664286,251.422607,24.040001,186.289993,21.389999,65.879997,,,,,
6/14/2011,11.872857,253.235809,24.219999,189.960007,21.82,66.790001,,,,,
6/15/2011,11.669642,250.535934,23.74,185.979996,21.42,65.599998,,,,,
6/16/2011,11.612857,249.250748,24,183.649994,21.42,65.709999,,,,,
6/17/2011,11.437857,241.604401,24.26,186.369995,21.190001,65.919998,,,,,
6/20/2011,11.261429,241.385223,24.469999,187.720001,21.33,66.230003,,,,,
6/21/2011,11.617857,245.579514,24.76,194.229996,21.65,67.239998,,,,,
6/22/2011,11.521786,242.595688,24.65,191.630005,21.4,66.870003,,,,,
6/23/2011,11.829643,239.213364,24.629999,194.160004,21.709999,66.760002,,,,,
6/24/2011,11.655357,236.553345,24.299999,192.550003,21.200001,65.720001,,,,,
6/27/2011,11.858571,240.49855,25.200001,201.25,21.34,66.279999,,,,,
6/28/2011,11.973572,245.90329,25.799999,202.350006,21.49,67.199997,,,,,
6/29/2011,11.93,247.855972,25.620001,204.179993,21.389999,67.790001,,,,,
6/30/2011,11.988214,252.244522,26,204.490005,22.16,68.400002,,,,,
7/1/2011,12.259286,259.542175,26.02,209.490005,22.530001,69.379997,,,,,
7/5/2011,12.479643,265.225861,26.030001,213.190002,22.440001,69.370003,,,,,
7/6/2011,12.562857,266.68042,26.33,214.190002,22.75,69.510002,,,,,
7/7/2011,12.757143,272.279419,26.77,216.740005,23.23,70.260002,,,,,
7/8/2011,12.846786,265.001709,26.92,218.279999,23.09,69.760002,,,,,
7/11/2011,12.642858,262.655518,26.629999,212.550003,22.85,68.470001,,,,,
7/12/2011,12.633928,266.007935,26.540001,211.229996,22.450001,68.169998,,,,,
7/13/2011,12.786428,268.125,26.629999,213.5,22.48,68.43,,,,,
7/14/2011,12.7775,263.482391,26.469999,210.380005,22.27,67.849998,,,,,
7/15/2011,13.032857,297.694183,26.780001,212.869995,22.370001,68.279999,,,,,
7/18/2011,13.35,296.359161,26.59,211.529999,22.280001,67.650002,,,,,
7/19/2011,13.458928,300.149963,27.540001,218.059998,23.059999,68.790001,,,,,
7/20/2011,13.817857,296.563416,27.059999,215.550003,22.99,68.75,,,,,
7/21/2011,13.831786,302.361664,27.1,213.210007,22.809999,69.589996,,,,,
7/22/2011,14.046429,307.960693,27.530001,216.520004,23.129999,69.709999,,,,,
7/25/2011,14.232142,308.33429,27.91,213.490005,23.030001,69.260002,,,,,
7/26/2011,14.4075,310.097687,28.08,214.179993,22.9,68.970001,,,,,
7/27/2011,14.021071,302.476257,27.33,222.520004,22.530001,67.449997,,,,,
7/28/2011,13.993571,304.329285,27.719999,223.899994,22.549999,67.220001,,,,,
